#t = 2646452000.000000 [s], N conservation: 8.916e-01 
#gam, dgam, dN/dgam, Ee*dN, dN/dgam/dt, dgam/dt, tad[s], tsyn[s] 
3.805060e+00 3.871703e-02 1.000823e+53 1.207127e+46 3.647160e+41 1.439235e-09 2.643807e+09 7.252091e+20 
3.843777e+00 3.911098e-02 9.856768e+52 1.213176e+46 3.592194e+41 1.453880e-09 2.643807e+09 7.179044e+20 
3.882888e+00 3.950894e-02 9.707596e+52 1.219254e+46 3.538057e+41 1.468673e-09 2.643807e+09 7.106732e+20 
3.922397e+00 3.991095e-02 9.560677e+52 1.225362e+46 3.484735e+41 1.483617e-09 2.643807e+09 7.035148e+20 
3.962308e+00 4.031705e-02 9.415976e+52 1.231500e+46 3.432217e+41 1.498713e-09 2.643807e+09 6.964285e+20 
4.002625e+00 4.072728e-02 9.273460e+52 1.237669e+46 3.380491e+41 1.513963e-09 2.643807e+09 6.894137e+20 
4.043352e+00 4.114169e-02 9.133097e+52 1.243867e+46 3.329544e+41 1.529367e-09 2.643807e+09 6.824694e+20 
4.084494e+00 4.156031e-02 8.994853e+52 1.250096e+46 3.279365e+41 1.544929e-09 2.643807e+09 6.755952e+20 
4.126054e+00 4.198319e-02 8.858697e+52 1.256355e+46 3.229942e+41 1.560649e-09 2.643807e+09 6.687901e+20 
4.168037e+00 4.241038e-02 8.724597e+52 1.262645e+46 3.181264e+41 1.576529e-09 2.643807e+09 6.620536e+20 
4.210448e+00 4.284191e-02 8.592522e+52 1.268966e+46 3.133319e+41 1.592570e-09 2.643807e+09 6.553850e+20 
4.253290e+00 4.327783e-02 8.462441e+52 1.275318e+46 3.086097e+41 1.608775e-09 2.643807e+09 6.487835e+20 
4.296568e+00 4.371819e-02 8.334325e+52 1.281700e+46 3.039587e+41 1.625144e-09 2.643807e+09 6.422486e+20 
4.340286e+00 4.416303e-02 8.208144e+52 1.288114e+46 2.993778e+41 1.641680e-09 2.643807e+09 6.357794e+20 
4.384449e+00 4.461240e-02 8.083869e+52 1.294559e+46 2.948659e+41 1.658385e-09 2.643807e+09 6.293754e+20 
4.429061e+00 4.506633e-02 7.961470e+52 1.301036e+46 2.904220e+41 1.675259e-09 2.643807e+09 6.230359e+20 
4.474127e+00 4.552489e-02 7.840920e+52 1.307545e+46 2.860451e+41 1.692305e-09 2.643807e+09 6.167603e+20 
4.519652e+00 4.598811e-02 7.722191e+52 1.314085e+46 2.817342e+41 1.709524e-09 2.643807e+09 6.105479e+20 
4.565640e+00 4.645605e-02 7.605254e+52 1.320657e+46 2.774882e+41 1.726919e-09 2.643807e+09 6.043981e+20 
4.612097e+00 4.692874e-02 7.490084e+52 1.327261e+46 2.733062e+41 1.744491e-09 2.643807e+09 5.983102e+20 
4.659025e+00 4.740625e-02 7.376654e+52 1.333897e+46 2.691872e+41 1.762241e-09 2.643807e+09 5.922836e+20 
4.706432e+00 4.788862e-02 7.264936e+52 1.340566e+46 2.651304e+41 1.780172e-09 2.643807e+09 5.863177e+20 
4.754320e+00 4.837589e-02 7.154906e+52 1.347267e+46 2.611346e+41 1.798286e-09 2.643807e+09 5.804120e+20 
4.802696e+00 4.886812e-02 7.046538e+52 1.354000e+46 2.571991e+41 1.816583e-09 2.643807e+09 5.745657e+20 
4.851564e+00 4.936536e-02 6.939807e+52 1.360767e+46 2.533229e+41 1.835067e-09 2.643807e+09 5.687783e+20 
4.900930e+00 4.986766e-02 6.834688e+52 1.367566e+46 2.495051e+41 1.853740e-09 2.643807e+09 5.630492e+20 
4.950797e+00 5.037507e-02 6.731157e+52 1.374399e+46 2.457448e+41 1.872602e-09 2.643807e+09 5.573778e+20 
5.001172e+00 5.088765e-02 6.629189e+52 1.381264e+46 2.420412e+41 1.891656e-09 2.643807e+09 5.517635e+20 
5.052060e+00 5.140544e-02 6.528762e+52 1.388163e+46 2.383935e+41 1.910903e-09 2.643807e+09 5.462058e+20 
